strainID,major_serovar,serovar,serovar:colour,host,host:colour,h_material,h_material:colour,f_material,f_material:colour,a_material,a_material:colour,any_ESBL_AmpC,any_ESBL_AmpC:color,Fosfomycin_gene,Fosfomycin_gene:colour,tet_gene,tet_gene:colour,Trimethoprim_gene,Trimethoprim_gene:colour,Kanamycin_gene,Kanamycin_gene:colour,Macrolide_gene,Macrolide_gene:colour,Fosfomycin_gene_for_mosaic_fig,tet_gene_for_fig,Trimethoprim_gene_for_fig,Kanamycin_gene_for_fig
2111088,Others,UT(other than O4),#B3B3B3,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,,,
2111089,Thompson,Thompson,#009E96,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,,,
2111090,O4:i:-,O4:i:-,#009944,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(B),#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,tet(B),,
2111091,O4:i:-,O4:i:-,#009944,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(B),#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,tet(B),,
2111092,Infantis,Infantis,#F39800,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,,,
2111093,Thompson,Thompson,#009E96,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,,,
2111094,Others,Nagoya,#69BD83,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,,,
2111095,Thompson,Thompson,#009E96,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,,,
2111096,Thompson,Thompson,#009E96,human,#FF0000,h_unknown,#F5B090,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,,,
2111097,Others,Bareilly,#B80047,human,#FF0000,h_unknown,#F5B090,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,,,
2111098,Typhimurium,Typhimurium,#00A0E9,human,#FF0000,h_unknown,#F5B090,None,#CCCCCC,None,#CCCCCC,blaCMY-2,#8000FF,None,#CCCCCC,tet(A),#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,tet(A),,
